League,Day,Team 1,Team 2,team_A_score,team_B_score,winner_team,Tgames1,Wgames1,Lgames1,W%1,L%1,Ppoints1,Npoints1,PPPWG1,NPPWG1,PPPLG1,NPPLG1,DiffT1,DiffW1,DiffL1,Ratio1,Tgames2,Wgames2,Lgames2,W%2,L%2,Ppoints2,Npoints2,PPPWG2,NPPWG2,PPPLG2,NPPLG2,DiffT2,DiffW2,DiffL2,Ratio2
Euroleague,2021-02-19,LDLC ASVEL,FC Bayern München,0,0,None,10,5,5,50.0,50.0,782,823,80.2,72.8,76.2,91.8,-41,7.400000000000006,-15.599999999999994,0.9501822600243013,10,6,4,60.0,40.0,796,791,85.67,79.5,70.5,78.5,5,6.170000000000002,-8.0,1.0063211125158027
Euroleague,2021-02-19,Crvena zvezda mts,Zenit St. Petersburg,0,0,None,9,2,7,22.22,77.78,655,735,75.0,72.0,72.14,84.43,-80,3.0,-12.290000000000006,0.891156462585034,9,5,4,55.56,44.44,748,702,85.4,72.2,80.25,85.25,46,13.200000000000003,-5.0,1.0655270655270654
Euroleague,2021-02-19,Valencia,Real Madrid,0,0,None,10,3,7,30.0,70.0,806,847,94.67,85.33,74.57,84.43,-41,9.340000000000003,-9.860000000000014,0.9515938606847698,9,6,3,66.67,33.33,703,664,79.83,69.0,74.67,83.33,39,10.829999999999998,-8.659999999999997,1.0587349397590362
Euroleague,2021-02-18,F.C. Barcelona,Zalgiris,0,0,None,10,6,4,60.0,40.0,806,769,82.83,72.83,77.25,83.0,37,10.0,-5.75,1.048114434330299,10,7,3,70.0,30.0,807,752,85.86,73.0,68.67,80.33,55,12.86,-11.659999999999997,1.0731382978723405
Euroleague,2021-02-18,AX Armani Exchange Milano,Maccabi Playtika Tel Aviv,0,0,None,10,7,3,70.0,30.0,813,754,82.57,71.57,78.33,84.33,59,11.0,-6.0,1.0782493368700266,10,6,4,60.0,40.0,801,783,81.0,75.0,78.75,83.25,18,6.0,-4.5,1.0229885057471264
Euroleague,2021-02-18,Khimki Moscow Region,TD Systems Baskonia,0,0,None,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10,5,5,50.0,50.0,818,823,83.0,74.8,80.6,89.8,-5,8.200000000000003,-9.200000000000003,0.9939246658566221
Euroleague,2021-02-18,Anadolu Efes,Olympiacos,0,0,None,10,6,4,60.0,40.0,822,783,90.83,75.5,69.25,82.5,39,15.329999999999998,-13.25,1.049808429118774,10,4,6,40.0,60.0,828,838,94.75,87.5,74.83,81.33,-10,7.25,-6.5,0.9880668257756563
Euroleague,2021-02-17,Zenit St. Petersburg,Panathinaikos,0,0,None,10,5,5,50.0,50.0,813,785,85.4,72.2,77.2,84.8,28,13.200000000000003,-7.599999999999994,1.0356687898089172,10,5,5,50.0,50.0,822,795,90.6,73.4,73.8,85.6,27,17.19999999999999,-11.799999999999997,1.0339622641509434
Euroleague,2021-02-13,Real Madrid,Crvena zvezda mts,0,0,None,10,7,3,70.0,30.0,800,757,82.29,72.43,74.67,83.33,43,9.86,-8.659999999999997,1.0568031704095113,10,2,8,20.0,80.0,734,816,75.0,72.0,73.0,84.0,-82,3.0,-11.0,0.8995098039215687
Euroleague,2021-02-05,Olympiacos,Panathinaikos,77,88,Panathinaikos,10,4,6,40.0,60.0,833,836,94.75,87.5,75.67,81.0,-3,7.25,-5.329999999999998,0.9964114832535885,10,4,6,40.0,60.0,827,815,91.25,72.5,77.0,87.5,12,18.75,-10.5,1.014723926380368
Euroleague,2021-02-05,LDLC ASVEL,AX Armani Exchange Milano,78,69,LDLC ASVEL,10,5,5,50.0,50.0,794,838,82.6,75.8,76.2,91.8,-44,6.799999999999997,-15.599999999999994,0.9474940334128878,10,8,2,80.0,20.0,823,747,82.12,71.5,83.0,87.5,76,10.620000000000005,-4.5,1.1017402945113788
Euroleague,2021-02-05,FC Bayern München,Alba Berlin,101,95,FC Bayern München,10,5,5,50.0,50.0,770,775,82.6,76.4,71.4,78.6,-5,6.199999999999989,-7.199999999999989,0.9935483870967742,10,2,8,20.0,80.0,731,821,89.5,84.0,69.0,81.62,-90,5.5,-12.620000000000005,0.8903775883069428
Euroleague,2021-02-05,Fenerbahce,Zenit St. Petersburg,92,84,Fenerbahce,10,8,2,80.0,20.0,845,769,89.0,73.88,66.5,89.0,76,15.120000000000005,-22.5,1.0988296488946685,10,6,4,60.0,40.0,808,768,84.33,72.67,75.5,83.0,40,11.659999999999997,-7.5,1.0520833333333333
Euroleague,2021-02-05,Real Madrid,TD Systems Baskonia,64,84,TD Systems Baskonia,10,8,2,80.0,20.0,815,745,81.88,72.38,80.0,83.0,70,9.5,-3.0,1.0939597315436242,10,4,6,40.0,60.0,800,836,82.75,77.5,78.17,87.67,-36,5.25,-9.5,0.9569377990430622
